rule key,start line,end line,severity,message,type
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S1854,12,12,LOGICAL,Remove this useless assignment to local variable "name".,null,
java:S1854,10,10,LOGICAL,Remove this useless assignment to local variable "grade".,null,
java:S1854,9,9,LOGICAL,Remove this useless assignment to local variable "price".,null,
java:S1854,8,8,LOGICAL,Remove this useless assignment to local variable "age".,null,
java:S125,6,6,CLEAR,This block of commented-out lines of code should be removed.,null,
java:S1481,8,8,CLEAR,Remove this unused "age" local variable.,null,
java:S1481,9,9,CLEAR,Remove this unused "price" local variable.,null,
java:S1481,10,10,CLEAR,Remove this unused "grade" local variable.,null,
java:S1481,11,11,CLEAR,Remove this unused "isJavaFun" local variable.,null,
java:S1481,12,12,CLEAR,Remove this unused "name" local variable.,null,
