https://github.com/square/moshi/pull/1470	2	\N	2022-01-19 05:25:06	Convert ClassJsonAdapter to kotlin	Ref #1252
https://github.com/sleuthkit/autopsy/pull/4055	29	\N	2018-08-23 19:28:15	3863 remove correlationattribute	
https://github.com/realm/realm-java/pull/5520	2	\N	2017-11-17 10:44:31	Added the and() function in RealmQuery	Added the and() function to `RealmQuery E>`. Basically does nothing, just returns the query object. This can be really helpful if we have a complex query and need to read the query in a more English-like language. Helps in understanding the query better, especially for newcomers, while it doesn't affect the performance either.    Purely added it for syntactic sugar.  Code can now be written as  ```  getRealmObject()      .where(User.class)      .equalTo("username", "john-doe")      .and()      .equalTo("email" , "john@example.com")      .findAll();  ```    First time contributing to a big open source project.....so do let me know how I can improve my commits.
https://github.com/undertow-io/undertow/pull/710	2	\N	2019-02-20 04:18:03	URLDecodingHandler fixes and improvements	Added test cases to prevent future regressions. Break URLDecodingHandler  into smaller jit-friendly methods.
https://github.com/UniversalMediaServer/UniversalMediaServer/pull/1638	3	\N	2019-04-26 03:21:26	Replace all inefficient use of keySet iterator by entrySet iterator	
https://github.com/aaberg/sql2o/pull/286	1	\N	2018-03-20 11:05:40	convert connection blocks to use try with resources	Converted auto closable resources to use try with resources
https://github.com/apache/accumulo/pull/501	9	\N	2018-05-31 19:17:01	Improve some comparators using Java 8	
https://github.com/apache/accumulo/pull/1546	12	\N	2020-03-05 16:22:57	Replace try/finally with try-with-resources.	Implement the try-with-resources construct available in Java 7+ where applicable.
https://github.com/apache/ambari-infra/pull/12	1	\N	2018-10-29 16:03:23	AMBARI-24838 - Infra Manager: zookeper connection string	## What changes were proposed in this pull request?    Infra Manager can not connect to zookeeper if it is installed into a node where there is no zookeeper server instance.  The builder which is used for construct an org.apache.solr.client.solrj.impl.CloudSolrClient instance is deprecated: it does not handle the zookeper connection string fromat which sould be set in the stack code.  ```  zkhost0:port[,zkhost1:port...zkhostn:port][/solr_znode]  ```    ## How was this patch tested?    ITs passed    Manually:  1. Deploy Ambari and a cluster: zookeeper, infra solr, logsearch  2. Deploy Infra manager to a node where no zookeeper server is installed  3. Run archive_service_logs job  4. Check that archive files exists in the specified destination directory    
https://github.com/apache/avro/pull/965	6	\N	2020-10-28 12:40:40	AVRO-2937: Add some missing options in SpecificCompilerTool	### Jira    - https://issues.apache.org/jira/browse/AVRO-2937    ### Description    Currently these are the flags available in java SpecificCompilerTool:      ```java -jar avro-tools-1.10.0.jar compile    [-encoding  outputencoding>] [-string] [-bigDecimal] [-fieldVisibility  visibilityType>] [-templateDir  templateDir>]  ```  This PR adds the following options, which already SpecificCompiler accepts, but they are missing in the tool:    - -noSetters  - -optionalGetters [all_fields | only_nullable_fields]  - -addExtraOptionalGetters    ### Tests    - 4 new tests added in TestSpecificCompilerTool.java
