snippet_id,stackoverflow,chatgpt,chatgpt2025,deepseek,Gemini
2,0.0,6.0,0.0,2.0,6.0
3,0.0,2.0,1.0,0.0,18.0
4,2.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,3.0,0.0,0.0
8,8.0,10.0,7.0,10.0,46.0
9,0.0,0.0,0.0,2.0,2.0
10,0.0,0.0,1.0,0.0,0.0
11,0.0,0.0,0.0,0.0,1.0
12,7.0,33.0,32.0,38.0,39.0
13,10.0,0.0,2.0,1.0,0.0
14,1.0,0.0,1.0,1.0,1.0
15,0.0,0.0,1.0,1.0,2.0
16,0.0,0.0,0.0,0.0,6.0
17,0.0,1.0,0.0,0.0,1.0
18,0.0,5.0,3.0,2.0,2.0
19,0.0,0.0,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,1.0,2.0
26,14.0,1.0,1.0,4.0,4.0
27,1.0,1.0,0.0,0.0,1.0
28,0.0,6.0,10.0,15.0,33.0
29,16.0,0.0,3.0,6.0,3.0
30,1.0,0.0,1.0,1.0,1.0
31,1.0,0.0,2.0,0.0,0.0
32,1.0,2.0,2.0,1.0,8.0
33,38.0,2.0,2.0,2.0,6.0
34,0.0,0.0,0.0,0.0,1.0
35,0.0,1.0,0.0,2.0,2.0
36,9.0,0.0,1.0,1.0,0.0
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,3.0,3.0,4.0
39,1.0,1.0,2.0,1.0,3.0
40,3.0,2.0,2.0,4.0,2.0
41,7.0,1.0,1.0,1.0,5.0
42,4.0,4.0,2.0,0.0,10.0
43,1.0,0.0,0.0,0.0,6.0
44,1.0,1.0,0.0,0.0,0.0
45,0.0,1.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
53,5.0,0.0,0.0,0.0,1.0
55,11.0,0.0,0.0,0.0,0.0
56,1.0,0.0,8.0,8.0,0.0
57,3.0,0.0,8.0,0.0,1.0
58,0.0,1.0,0.0,2.0,6.0
59,2.0,1.0,1.0,1.0,1.0
60,6.0,9.0,2.0,2.0,6.0
61,1.0,1.0,1.0,0.0,1.0
62,0.0,0.0,2.0,2.0,3.0
63,6.0,0.0,3.0,5.0,0.0
64,0.0,0.0,0.0,0.0,1.0
65,1.0,1.0,7.0,0.0,12.0
66,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0
69,1.0,0.0,1.0,1.0,3.0
70,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0
74,8.0,1.0,1.0,1.0,0.0
75,0.0,0.0,0.0,0.0,0.0
76,0.0,1.0,1.0,0.0,3.0
79,1.0,1.0,1.0,2.0,1.0
80,2.0,2.0,2.0,3.0,6.0
81,1.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0
83,1.0,1.0,1.0,1.0,1.0
84,0.0,11.0,0.0,0.0,6.0
85,14.0,1.0,0.0,0.0,0.0
86,0.0,1.0,1.0,1.0,1.0
87,3.0,0.0,0.0,0.0,5.0
88,9.0,2.0,1.0,1.0,1.0
89,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0
93,2.0,1.0,1.0,2.0,2.0
94,4.0,2.0,1.0,1.0,10.0
95,3.0,2.0,4.0,3.0,3.0
96,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,1.0,4.0,2.0
98,0.0,0.0,0.0,0.0,0.0
99,3.0,0.0,0.0,0.0,0.0
100,3.0,0.0,0.0,0.0,0.0
101,1.0,0.0,0.0,0.0,0.0
103,0.0,3.0,1.0,0.0,0.0
104,0.0,0.0,0.0,0.0,3.0
105,0.0,0.0,0.0,0.0,1.0
106,0.0,5.0,2.0,0.0,5.0
108,2.0,3.0,28.0,8.0,2.0
109,1.0,0.0,2.0,2.0,5.0
110,0.0,0.0,0.0,0.0,0.0
111,2.0,1.0,1.0,1.0,1.0
112,0.0,1.0,1.0,1.0,1.0
113,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,3.0,3.0,12.0
115,0.0,0.0,2.0,1.0,3.0
118,0.0,0.0,2.0,2.0,4.0
119,0.0,0.0,0.0,0.0,2.0
120,0.0,0.0,0.0,0.0,0.0
121,7.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0
123,1.0,0.0,0.0,0.0,2.0
124,3.0,1.0,2.0,1.0,2.0
125,0.0,0.0,0.0,0.0,0.0
126,0.0,3.0,0.0,0.0,4.0
127,0.0,3.0,0.0,2.0,3.0
128,1.0,1.0,3.0,3.0,4.0
129,0.0,0.0,0.0,1.0,1.0
130,0.0,0.0,0.0,0.0,0.0
131,1.0,0.0,0.0,0.0,0.0
133,117.0,0.0,1.0,0.0,2.0
134,0.0,2.0,2.0,1.0,3.0
135,4.0,0.0,0.0,0.0,5.0
136,0.0,0.0,0.0,0.0,0.0
137,6.0,2.0,3.0,3.0,5.0
138,0.0,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0
140,4.0,9.0,6.0,8.0,4.0
141,11.0,7.0,6.0,0.0,6.0
